,date,Overall_AQI_Value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
108,2019-01-09,74,PM2.5,Compton,06-037-1302,AQS,25.0,36,4.0,35.0,74,48.0,34.0522,-118.2437,Los_Angeles,2020-03-23
109,2019-01-10,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,18.0,35,1.0,23.0,67,47.0,34.0522,-118.2437,Los_Angeles,2020-03-23
110,2019-01-11,91,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,11.0,28,1.0,29.0,91,35.0,34.0522,-118.2437,Los_Angeles,2020-03-23
111,2019-01-12,51,PM2.5,Long Beach (North),06-037-4002,AQS,15.0,39,0.0,8.0,51,36.0,34.0522,-118.2437,Los_Angeles,2020-03-23
112,2019-01-13,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,17.0,39,3.0,13.0,67,45.0,34.0522,-118.2437,Los_Angeles,2020-03-23
113,2019-01-14,53,PM2.5,Reseda,06-037-1201,AQS,16.0,39,0.0,6.0,53,43.0,34.0522,-118.2437,Los_Angeles,2020-03-23
114,2019-01-15,46,PM2.5,Reseda,06-037-1201,AQS,9.0,39,0.0,8.0,46,42.0,34.0522,-118.2437,Los_Angeles,2020-03-23
115,2019-01-16,38,NO2,LAX Hastings,06-037-5005,AQS,6.0,35,1.0,3.0,25,38.0,34.0522,-118.2437,Los_Angeles,2020-03-23
116,2019-01-17,44,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,9.0,31,0.0,3.0,27,44.0,34.0522,-118.2437,Los_Angeles,2020-03-23
117,2019-01-18,57,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,11.0,36,1.0,25.0,57,43.0,34.0522,-118.2437,Los_Angeles,2020-03-23
118,2019-01-19,53,PM2.5,Long Beach (South),06-037-4004,AQS,14.0,37,0.0,19.0,53,41.0,34.0522,-118.2437,Los_Angeles,2020-03-23
119,2019-01-20,45,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,16.0,36,4.0,8.0,45,29.0,34.0522,-118.2437,Los_Angeles,2020-03-23
120,2019-01-21,40,Ozone,Azusa,06-037-0002,AQS,7.0,40,0.0,34.0,23,39.0,34.0522,-118.2437,Los_Angeles,2020-03-23
121,2019-01-22,71,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,16.0,43,1.0,19.0,51,71.0,34.0522,-118.2437,Los_Angeles,2020-03-23
122,2019-01-23,63,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,19.0,34,1.0,19.0,60,63.0,34.0522,-118.2437,Los_Angeles,2020-03-23
123,2019-01-24,76,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,17.0,38,4.0,27.0,65,76.0,34.0522,-118.2437,Los_Angeles,2020-03-23
124,2019-01-25,62,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,18.0,44,1.0,15.0,55,62.0,34.0522,-118.2437,Los_Angeles,2020-03-23
125,2019-01-26,62,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,24.0,44,14.0,19.0,62,57.0,34.0522,-118.2437,Los_Angeles,2020-03-23
126,2019-01-27,81,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,33.0,48,11.0,40.0,81,50.0,34.0522,-118.2437,Los_Angeles,2020-03-23
127,2019-01-28,106,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,23.0,44,7.0,39.0,106,77.0,34.0522,-118.2437,Los_Angeles,2020-03-23
128,2019-01-29,95,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,18.0,44,3.0,32.0,95,67.0,34.0522,-118.2437,Los_Angeles,2020-03-23
129,2019-01-30,72,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,11.0,42,1.0,31.0,72,40.0,34.0522,-118.2437,Los_Angeles,2020-03-23
130,2019-01-31,66,PM2.5,Glendora,06-037-0016,AQS,9.0,31,1.0,22.0,66,31.0,34.0522,-118.2437,Los_Angeles,2020-03-23
131,2019-02-01,40,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,14.0,36,1.0,10.0,40,37.0,34.0522,-118.2437,Los_Angeles,2020-03-23
132,2019-02-02,41,Ozone,Lancaster-Division Street,06-037-9033,AQS,7.0,41,0.0,12.0,30,26.0,34.0522,-118.2437,Los_Angeles,2020-03-23
133,2019-02-03,41,Ozone,LAX Hastings,06-037-5005,AQS,7.0,41,0.0,6.0,33,25.0,34.0522,-118.2437,Los_Angeles,2020-03-23
134,2019-02-04,42,Ozone,LAX Hastings,06-037-5005,AQS,7.0,42,0.0,5.0,24,40.0,34.0522,-118.2437,Los_Angeles,2020-03-23
135,2019-02-05,46,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,7.0,41,0.0,5.0,26,46.0,34.0522,-118.2437,Los_Angeles,2020-03-23
136,2019-02-06,52,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,9.0,39,0.0,9.0,28,52.0,34.0522,-118.2437,Los_Angeles,2020-03-23
137,2019-02-07,56,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,9.0,40,3.0,14.0,56,49.0,34.0522,-118.2437,Los_Angeles,2020-03-23
138,2019-02-08,59,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,13.0,44,3.0,22.0,59,56.0,34.0522,-118.2437,Los_Angeles,2020-03-23
139,2019-02-09,57,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,10.0,42,1.0,11.0,57,40.0,34.0522,-118.2437,Los_Angeles,2020-03-23
140,2019-02-10,42,Ozone,LAX Hastings,06-037-5005,AQS,13.0,42,3.0,8.0,40,32.0,34.0522,-118.2437,Los_Angeles,2020-03-23
141,2019-02-11,57,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,11.0,44,1.0,13.0,38,57.0,34.0522,-118.2437,Los_Angeles,2020-03-23
142,2019-02-12,54,PM2.5,Reseda,06-037-1201,AQS,16.0,34,3.0,16.0,54,50.0,34.0522,-118.2437,Los_Angeles,2020-03-23
143,2019-02-13,43,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,17.0,40,1.0,13.0,43,42.0,34.0522,-118.2437,Los_Angeles,2020-03-23
