,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
179,2019-03-20,61,PM2.5,Fort Lee Near Road,34-003-0010,AQS,11,49,3,.,61,61,40.7128,-74.006,New_York,2020-03-23
180,2019-03-21,52,NO2,Elizabeth Lab,34-039-0004,AQS,13,45,3,.,48,52,40.7128,-74.006,New_York,2020-03-23
181,2019-03-22,44,Ozone,Chester,34-027-3001,AQS,6,44,1,6,23,26,40.7128,-74.006,New_York,2020-03-23
182,2019-03-23,44,Ozone,RIVERHEAD,36-103-0004,AQS,3,44,1,.,26,23,40.7128,-74.006,New_York,2020-03-23
183,2019-03-24,50,Ozone,Chester,34-027-3001,AQS,5,50,1,.,31,42,40.7128,-74.006,New_York,2020-03-23
184,2019-03-25,45,NO2,Queens College Near Road,36-081-0125,AQS,6,44,7,9,43,45,40.7128,-74.006,New_York,2020-03-23
185,2019-03-26,44,Ozone,RIVERHEAD,36-103-0004,AQS,5,44,1,.,27,26,40.7128,-74.006,New_York,2020-03-23
186,2019-03-27,45,Ozone,Colliers Mills,34-029-0006,AQS,6,45,1,.,35,42,40.7128,-74.006,New_York,2020-03-23
187,2019-03-28,55,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,47,1,23,55,53,40.7128,-74.006,New_York,2020-03-23
188,2019-03-29,59,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,44,3,.,59,57,40.7128,-74.006,New_York,2020-03-23
189,2019-03-30,72,PM2.5,Elizabeth Lab,34-039-0004,AQS,16,71,3,.,72,56,40.7128,-74.006,New_York,2020-03-23
190,2019-03-31,100,PM2.5,Elizabeth Lab,34-039-0004,AQS,8,45,1,15,100,43,40.7128,-74.006,New_York,2020-03-23
191,2019-04-01,46,NO2,Bayonne,34-017-0006,AQS,6,44,3,.,26,46,40.7128,-74.006,New_York,2020-03-23
192,2019-04-02,60,NO2,Newark Firehouse,34-013-0003,AQS,15,46,4,.,34,60,40.7128,-74.006,New_York,2020-03-23
193,2019-04-03,54,Ozone,RIVERHEAD,36-103-0004,AQS,7,54,3,22,46,47,40.7128,-74.006,New_York,2020-03-23
194,2019-04-04,49,Ozone,Colliers Mills,34-029-0006,AQS,9,49,1,.,32,43,40.7128,-74.006,New_York,2020-03-23
195,2019-04-05,41,Ozone,RIVERHEAD,36-103-0004,AQS,8,41,1,.,40,40,40.7128,-74.006,New_York,2020-03-23
