,date,Overall_AQI_Value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
35,2020-02-05,80,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,28,,,80,,47.6062,-122.3321,Seattle,2020-03-23,744955
36,2020-02-06,46,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,19,,,46,,47.6062,-122.3321,Seattle,2020-03-23,744955
37,2020-02-07,36,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,36,,,34,,47.6062,-122.3321,Seattle,2020-03-23,744955
38,2020-02-08,42,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,,31,,,42,,47.6062,-122.3321,Seattle,2020-03-23,744955
39,2020-02-09,54,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,20,,,54,,47.6062,-122.3321,Seattle,2020-03-23,744955
40,2020-02-10,66,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,,14,,,66,,47.6062,-122.3321,Seattle,2020-03-23,744955
41,2020-02-11,56,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,17,,,56,,47.6062,-122.3321,Seattle,2020-03-23,744955
42,2020-02-12,50,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,12,,,50,,47.6062,-122.3321,Seattle,2020-03-23,744955
43,2020-02-13,39,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,,31,,,39,,47.6062,-122.3321,Seattle,2020-03-23,744955
44,2020-02-14,33,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,33,,,30,,47.6062,-122.3321,Seattle,2020-03-23,744955
45,2020-02-15,31,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,31,,,24,,47.6062,-122.3321,Seattle,2020-03-23,744955
46,2020-02-16,31,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,31,,,27,,47.6062,-122.3321,Seattle,2020-03-23,744955
47,2020-02-17,38,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,,28,,,38,,47.6062,-122.3321,Seattle,2020-03-23,744955
48,2020-02-18,52,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,24,,,52,,47.6062,-122.3321,Seattle,2020-03-23,744955
49,2020-02-19,51,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,,31,,,51,,47.6062,-122.3321,Seattle,2020-03-23,744955
50,2020-02-20,60,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,20,,,60,,47.6062,-122.3321,Seattle,2020-03-23,744955
51,2020-02-21,67,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,27,,,67,,47.6062,-122.3321,Seattle,2020-03-23,744955
52,2020-02-22,49,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,25,,,49,,47.6062,-122.3321,Seattle,2020-03-23,744955
53,2020-02-23,37,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,37,,,32,,47.6062,-122.3321,Seattle,2020-03-23,744955
54,2020-02-24,39,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,,34,,,39,,47.6062,-122.3321,Seattle,2020-03-23,744955
55,2020-02-25,47,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,,16,,,47,,47.6062,-122.3321,Seattle,2020-03-23,744955
56,2020-02-26,43,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,,25,,,43,,47.6062,-122.3321,Seattle,2020-03-23,744955
57,2020-02-27,43,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,,21,,,43,,47.6062,-122.3321,Seattle,2020-03-23,744955
58,2020-02-28,48,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,,36,,,48,,47.6062,-122.3321,Seattle,2020-03-23,744955
59,2020-02-29,35,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,35,,,28,,47.6062,-122.3321,Seattle,2020-03-23,744955
60,2020-03-01,40,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,,31,,,40,,47.6062,-122.3321,Seattle,2020-03-23,744955
61,2020-03-02,33,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AirNow,,29,,,33,,47.6062,-122.3321,Seattle,2020-03-23,744955
62,2020-03-03,29,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,29,,,22,,47.6062,-122.3321,Seattle,2020-03-23,744955
63,2020-03-04,50,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,32,,,50,,47.6062,-122.3321,Seattle,2020-03-23,744955
64,2020-03-05,45,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,,32,,,45,,47.6062,-122.3321,Seattle,2020-03-23,744955
65,2020-03-06,30,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,30,,,28,,47.6062,-122.3321,Seattle,2020-03-23,744955
66,2020-03-07,38,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AirNow,,31,,,38,,47.6062,-122.3321,Seattle,2020-03-23,744955
67,2020-03-08,38,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,31,,,38,,47.6062,-122.3321,Seattle,2020-03-23,744955
68,2020-03-09,52,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,21,,,52,,47.6062,-122.3321,Seattle,2020-03-23,744955
69,2020-03-10,39,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,33,,,39,,47.6062,-122.3321,Seattle,2020-03-23,744955
70,2020-03-11,30,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,.,,,30,,47.6062,-122.3321,Seattle,2020-03-23,744955
71,2020-03-12,43,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,30,,,43,,47.6062,-122.3321,Seattle,2020-03-23,744955
72,2020-03-13,38,PM2.5,SEATTLE - SOUTH PARK #2,53-033-1011,AirNow,,34,,,38,,47.6062,-122.3321,Seattle,2020-03-23,744955
73,2020-03-14,55,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,32,,,55,,47.6062,-122.3321,Seattle,2020-03-23,744955
