,date,Overall_AQI_Value,main_pollutant,site_name,Lat ,Lon,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
128,2019-01-28,55,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,23,3,17,55,.,43.615,-116.2023,Boise,2020-03-25
129,2019-01-29,63,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,24,1,21,63,.,43.615,-116.2023,Boise,2020-03-25
130,2019-01-30,57,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,21,1,19,57,.,43.615,-116.2023,Boise,2020-03-25
131,2019-01-31,58,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,9.0,22,1,21,58,.,43.615,-116.2023,Boise,2020-03-25
132,2019-02-01,59,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,11.0,17,3,28,59,.,43.615,-116.2023,Boise,2020-03-25
133,2019-02-02,63,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,11.0,19,1,14,63,.,43.615,-116.2023,Boise,2020-03-25
134,2019-02-03,52,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,6.0,32,1,7,52,.,43.615,-116.2023,Boise,2020-03-25
135,2019-02-04,43,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,31,1,7,43,.,43.615,-116.2023,Boise,2020-03-25
136,2019-02-05,35,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,26,1,8,35,.,43.615,-116.2023,Boise,2020-03-25
137,2019-02-06,33,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AQS,6.0,33,0,10,22,.,43.615,-116.2023,Boise,2020-03-25
138,2019-02-07,42,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,6.0,32,0,11,42,.,43.615,-116.2023,Boise,2020-03-25
139,2019-02-08,34,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AQS,6.0,34,0,9,28,.,43.615,-116.2023,Boise,2020-03-25
140,2019-02-09,38,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,6.0,38,1,15,38,.,43.615,-116.2023,Boise,2020-03-25
141,2019-02-10,40,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AQS,6.0,40,1,7,31,.,43.615,-116.2023,Boise,2020-03-25
142,2019-02-11,53,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,6.0,32,0,12,53,.,43.615,-116.2023,Boise,2020-03-25
143,2019-02-12,60,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,7.0,38,0,10,60,.,43.615,-116.2023,Boise,2020-03-25
144,2019-02-13,68,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,10.0,37,0,5,68,.,43.615,-116.2023,Boise,2020-03-25
145,2019-02-14,88,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,10.0,34,1,6,88,.,43.615,-116.2023,Boise,2020-03-25
146,2019-02-15,53,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AQS,8.0,34,1,9,53,.,43.615,-116.2023,Boise,2020-03-25
147,2019-02-16,32,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AQS,8.0,32,0,7,27,.,43.615,-116.2023,Boise,2020-03-25
148,2019-02-17,51,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-027-0002,AQS,8.0,31,0,6,51,.,43.615,-116.2023,Boise,2020-03-25
