Date,Overall_AQI_Value,Main Pollutant,SiteName (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
2/2/2019,41,PM2.5,Portland,41-051-0080,AQS,6,24,0,10,41,18
2/3/2019,34,Ozone,Portland,41-051-0080,AQS,6,34,0,.,15,18
2/4/2019,28,NO2,Portland,41-067-0005,AQS,6,25,0,.,17,28
2/5/2019,55,PM2.5,Portland,41-051-0080,AQS,7,17,0,16,55,29
2/6/2019,68,PM2.5,Portland,41-067-0004,AQS,10,22,3,.,68,29
2/7/2019,60,PM2.5,Portland,41-067-0004,AQS,7,31,0,.,60,27
2/8/2019,53,PM2.5,Portland,53-011-0024,AQS,5,28,0,16,53,25
2/9/2019,31,Ozone,Portland,41-067-0005,AQS,3,31,.,.,26,7
2/10/2019,30,Ozone,Portland,41-067-0005,AQS,3,30,.,.,19,8
2/11/2019,37,Ozone,Portland,41-051-0080,AQS,3,37,.,1,11,19
2/12/2019,36,Ozone,Portland,41-051-0080,AQS,5,36,0,.,15,27
02/13/2019,35,PM2.5,Portland,41-051-0080,AQS,7,34,1,.,35,29
02/14/2019,35,Ozone,Portland,41-051-0080,AQS,3,35,0,4,17,20
02/15/2019,33,Ozone,Portland,41-051-0080,AQS,3,33,0,.,15,13
02/16/2019,28,Ozone,Portland,41-051-0080,AQS,6,28,0,.,23,26
02/17/2019,42,PM2.5,Portland,53-011-0024,AQS,6,28,0,7,42,23
02/18/2019,61,PM2.5,Portland,41-051-0080,AQS,9,19,1,.,61,27
02/19/2019,35,PM2.5,Portland,53-011-0024,AQS,6,26,0,.,35,24
02/20/2019,30,NO2,Portland,41-067-0005,AQS,6,29,0,6,27,30
02/21/2019,43,PM2.5,Portland,41-051-2011,AQS,6,25,0,.,43,34
02/22/2019,48,PM2.5,Portland,41-067-0004,AQS,7,25,0,.,48,26
02/23/2019,33,PM2.5,Portland,53-011-0022,AQS,5,30,0,5,33,17
02/24/2019,35,Ozone,Portland,41-051-0080,AQS,5,35,0,.,25,18
02/25/2019,34,Ozone,Portland,41-051-0080,AQS,3,34,0,.,19,8
02/26/2019,40,Ozone,Portland,41-051-0080,AQS,3,40,0,17,28,21
02/27/2019,38,Ozone,Portland,41-051-0080,AQS,6,38,0,.,26,16
02/28/2019,30,PM2.5,Portland,41-067-0004,AQS,6,30,0,.,30,22
3/1/2019,38,PM2.5,Portland,41-067-0004,AQS,5,37,0,7,38,15
3/2/2019,58,PM2.5,Portland,53-011-0024,AQS,3,42,0,.,58,13
3/3/2019,43,Ozone,Portland,41-051-0080,AQS,2,43,0,.,25,4
3/4/2019,43,Ozone,Portland,41-051-0080,AQS,2,43,0,13,18,6
3/5/2019,44,Ozone,Portland,41-051-0080,AQS,2,44,0,.,31,8
3/6/2019,53,PM2.5,Portland,53-011-0024,AQS,6,42,0,.,53,33
3/7/2019,31,Ozone,Portland,41-051-0080,AQS,5,31,0,5,27,24
3/8/2019,36,PM2.5,Portland,41-051-0080,AQS,5,27,0,.,36,32
3/9/2019,38,Ozone,Portland,41-051-0080,AirNow,5,38,0,.,33,25
3/10/2019,41,Ozone,Portland,41-051-0080,AirNow,2,41,0,11,34,19
3/11/2019,38,Ozone,Portland,41-051-0080,AirNow,7,38,0,.,33,38
3/12/2019,37,Ozone,Portland,41-051-0080,AirNow,5,37,0,.,16,32
03/13/2019,30,Ozone,Portland,41-051-0080,AirNow,5,30,0,6,23,19
03/14/2019,31,Ozone,Portland,41-051-0080,AirNow,5,31,.,.,28,21
03/15/2019,40,Ozone,Portland,41-051-0080,AirNow,3,40,1,.,33,30
03/16/2019,53,PM2.5,Portland,53-011-0024,AQS,2,40,0,17,53,25
03/17/2019,45,PM2.5,Portland,53-011-0024,AQS,2,45,0,.,45,18
03/18/2019,44,Ozone,Portland,41-051-0080,AQS,2,44,0,.,24,9
03/19/2019,45,Ozone,Portland,41-051-0080,AQS,2,45,0,8,23,7
03/20/2019,47,Ozone,Portland,41-051-0080,AQS,3,47,0,.,22,21
03/21/2019,35,Ozone,Portland,41-051-0080,AQS,6,35,0,.,30,27
03/22/2019,38,PM2.5,Portland,41-051-0080,AQS,7,26,1,13,38,19
03/23/2019,38,Ozone,Portland,41-051-0080,AQS,5,38,0,.,31,19
03/24/2019,42,Ozone,Portland,41-051-0080,AQS,5,42,0,.,27,26
03/25/2019,34,PM2.5,Portland,53-011-0024,AQS,5,31,0,7,34,21
03/26/2019,41,Ozone,Portland,41-051-0080,AQS,5,41,0,.,18,26
03/27/2019,34,Ozone,Portland,41-051-0080,AQS,5,34,0,.,23,30
03/28/2019,32,Ozone,Portland,41-051-0080,AQS,6,32,0,9,21,18
03/29/2019,36,Ozone,Portland,41-051-0080,AQS,6,36,0,.,31,17
03/30/2019,34,Ozone,Portland,41-051-0080,AQS,6,34,0,.,32,21
03/31/2019,46,PM2.5,Portland,53-011-0024,AQS,7,35,0,10,46,27
4/1/2019,38,PM2.5,Portland,41-067-0005,AQS,8,31,0,.,38,24
4/2/2019,34,PM2.5,Portland,53-011-0024,AQS,3,20,0,.,34,27
4/3/2019,35,Ozone,Portland,41-051-0080,AQS,3,35,0,7,16,22
4/4/2019,26,PM2.5,Portland,53-011-0024,AQS,6,25,0,.,26,23
4/5/2019,41,Ozone,Portland,41-051-0080,AQS,3,41,0,.,18,17
4/6/2019,41,Ozone,Portland,41-051-0080,AQS,3,41,0,6,21,13
4/7/2019,35,Ozone,Portland,41-051-0080,AQS,2,35,0,.,13,19
4/8/2019,36,Ozone,Portland,41-051-0080,AQS,3,36,.,.,18,21
4/9/2019,38,Ozone,Portland,41-051-0080,AQS,3,38,0,9,17,28
4/10/2019,34,Ozone,Portland,41-051-0080,AQS,2,34,0,.,13,8
4/11/2019,32,Ozone,Portland,41-051-0080,AQS,2,32,0,.,14,7
4/12/2019,32,Ozone,Portland,41-051-0080,AQS,3,32,0,3,13,19
04/13/2019,33,Ozone,Portland,41-051-0080,AQS,3,33,0,.,15,15
04/14/2019,39,Ozone,Portland,41-051-0080,AQS,3,39,.,.,19,15
04/15/2019,31,Ozone,Portland,41-051-0080,AQS,3,31,0,9,23,23
